# transcript_id	gene_id	transcript_biotype	number_of_samples_in_which_the_gene_is_expressed
ENST00000245552 ENSG00000125458 protein_coding 16
ENST00000245812 ENSG00000125652 protein_coding 16
ENST00000245816 ENSG00000125656 protein_coding 16
ENST00000245817 ENSG00000125657 protein_coding 11
ENST00000245932 ENSG00000125753 protein_coding 16
ENST00000245934 ENSG00000125755 protein_coding 16
ENST00000246006 ENSG00000125810 protein_coding 16
ENST00000246024 ENSG00000125827 protein_coding 16
ENST00000246032 ENSG00000125834 protein_coding 16
ENST00000246080 ENSG00000125878 protein_coding 11
ENST00000246105 ENSG00000125903 protein_coding 2
ENST00000246115 ENSG00000125910 protein_coding 10
ENST00000246117 ENSG00000125912 protein_coding 16
ENST00000246229 ENSG00000126003 protein_coding 16
ENST00000246529 ENSG00000126243 protein_coding 16
ENST00000246533 ENSG00000126247 protein_coding 16
ENST00000246535 ENSG00000126249 protein_coding 16
ENST00000246549 ENSG00000126262 protein_coding 8
ENST00000246553 ENSG00000126266 protein_coding 2
ENST00000246554 ENSG00000126267 protein_coding 16
ENST00000246657 ENSG00000126353 protein_coding 13
ENST00000246662 ENSG00000171403 protein_coding 3
ENST00000246672 ENSG00000126368 protein_coding 16
ENST00000246792 ENSG00000126458 protein_coding 16
ENST00000246801 ENSG00000126467 protein_coding 2
ENST00000246841 ENSG00000126500 protein_coding 5
ENST00000247001 ENSG00000105705 protein_coding 16
ENST00000247225 ENSG00000126821 protein_coding 16
ENST00000247271 ENSG00000126861 protein_coding 11
ENST00000247452 ENSG00000046774 protein_coding 2
ENST00000247706 ENSG00000127220 protein_coding 16
ENST00000247843 ENSG00000127337 protein_coding 16
ENST00000247881 ENSG00000127364 protein_coding 6
ENST00000247883 ENSG00000127366 protein_coding 10
ENST00000247930 ENSG00000196453 protein_coding 16
ENST00000247970 ENSG00000127445 protein_coding 9
ENST00000247977 ENSG00000127452 protein_coding 16
ENST00000248054 ENSG00000127511 protein_coding 16
ENST00000248071 ENSG00000127528 protein_coding 16
ENST00000248076 ENSG00000127533 protein_coding 9
ENST00000248150 ENSG00000127588 protein_coding 2
ENST00000248244 ENSG00000127666 protein_coding 16
ENST00000248378 ENSG00000127774 protein_coding 11
ENST00000248444 ENSG00000127831 protein_coding 4
ENST00000248564 ENSG00000127920 protein_coding 16
ENST00000248598 ENSG00000127951 protein_coding 16
ENST00000248668 ENSG00000128011 protein_coding 11
ENST00000248673 ENSG00000128016 protein_coding 16
ENST00000248958 ENSG00000128228 protein_coding 16
ENST00000248996 ENSG00000128266 protein_coding 14
ENST00000249014 ENSG00000128283 protein_coding 16
ENST00000249042 ENSG00000128311 protein_coding 16
ENST00000249044 ENSG00000128313 protein_coding 4
ENST00000249064 ENSG00000159873 protein_coding 16
ENST00000249071 ENSG00000128340 protein_coding 16
ENST00000249116 ENSG00000128383 protein_coding 2
ENST00000249356 ENSG00000128590 protein_coding 16
ENST00000249389 ENSG00000128617 protein_coding 16
ENST00000249440 ENSG00000128652 protein_coding 11
ENST00000249442 ENSG00000128654 protein_coding 4
ENST00000249700 ENSG00000128872 protein_coding 15
ENST00000250003 ENSG00000129152 protein_coding 3
ENST00000250092 ENSG00000129226 protein_coding 16
ENST00000250101 ENSG00000129235 protein_coding 15
ENST00000250111 ENSG00000129244 protein_coding 15
